id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,707.847486567943,0,0,205,12.258,2.898,0.434,-0.356,0.79,0.088,0.122
1,2,936.400979373804,0,0,201,11.994,2.96,0.443,-0.276,0.776,0.09,0.134
1,3,1027.0886387292514,0,1,197,12.197,2.924,0.452,-0.287,0.772,0.096,0.132
1,4,1059.3882761438383,0,1,183,12.121,2.869,0.41,-0.326,0.798,0.082,0.12
2,1,936.5607571083546,1,0,201,10.979,2.965,0.567,0.213,0.642,0.144,0.214
2,2,1004.316583413629,1,0,190,10.951,3.095,0.574,0.226,0.642,0.142,0.216
2,3,1157.4536196145345,1,1,189,11.058,3.106,0.582,0.216,0.635,0.138,0.228
2,4,1505.2507375042512,1,1,195,11.115,3.041,0.579,0.123,0.626,0.138,0.236
3,1,488.9989854553593,0,0,77,12.182,3.065,0.506,0.106,0.519,0.416,0.065
3,2,1008.0368482991262,0,0,76,12.177,3.066,0.474,0.127,0.513,0.421,0.066
3,3,1558.5354281720918,0,1,77,12.362,3.039,0.455,0.092,0.519,0.416,0.065
3,4,944.1063821289097,0,1,77,12.313,3.091,0.481,0.077,0.506,0.416,0.078
4,1,680.0344435367801,0,0,78,11.017,3.064,0.551,0.165,0.474,0.295,0.231
4,2,833.6671041131292,0,0,78,10.829,3.038,0.577,0.145,0.487,0.269,0.244
4,3,1334.3297883646005,0,1,97,11.104,3.01,0.557,0.07,0.464,0.268,0.268
4,4,1243.6082410835859,0,1,133,11.788,3.203,0.526,-0.391,0.451,0.256,0.293
5,1,1036.222774380236,0,0,392,11.369,3.097,0.561,0.034,0.597,0.209,0.194
5,2,1031.098993317146,0,0,368,11.346,3.041,0.552,-0.006,0.592,0.209,0.198
5,3,1108.9625986054011,0,1,371,11.356,3.108,0.571,0.01,0.609,0.197,0.194
5,4,1111.75979563212,0,1,356,11.485,3.093,0.565,-0.037,0.61,0.197,0.194
6,1,876.7108042944233,0,0,550,11.39,2.998,0.511,0.1,0.727,0.238,0.035
6,2,1063.8521499990786,0,0,538,11.525,3.033,0.509,0.052,0.727,0.243,0.03
6,3,1137.7762712522479,0,1,550,11.527,3.025,0.507,0.063,0.725,0.244,0.031
6,4,1251.7250883889392,0,1,541,11.526,3.048,0.494,-0.015,0.725,0.24,0.035
7,1,1000.5398813488408,1,0,352,11.969,2.923,0.466,-0.18,0.625,0.247,0.128
7,2,893.926175696935,1,0,336,11.989,2.926,0.449,-0.196,0.613,0.256,0.131
7,3,1071.515094847662,1,1,321,11.874,2.96,0.442,-0.201,0.589,0.28,0.131
7,4,957.6906184964389,1,1,336,11.56,3.003,0.44,-0.233,0.598,0.274,0.128
8,1,819.1632208582279,1,0,152,11.499,2.855,0.5,0.051,0.579,0.309,0.112
8,2,1002.6557004454179,1,0,159,11.588,2.862,0.491,0.03,0.579,0.327,0.094
8,3,1118.078376123319,1,1,178,11.553,2.792,0.534,0.069,0.573,0.331,0.096
