id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,1106.4091830048678,0,0,158,10.844,2.873,0.608,0.46,0.696,0.19,0.114
1,2,1598.8608229219228,0,0,149,10.824,2.893,0.611,0.474,0.685,0.208,0.107
1,3,1557.854348168503,0,1,151,11.177,2.907,0.596,0.348,0.682,0.219,0.099
1,4,1476.7529059882409,0,1,166,11.328,3.03,0.578,0.246,0.663,0.223,0.114
2,1,898.86459470735565,1,0,400,11.364,3.045,0.53,0.156,0.802,0.1,0.098
2,2,1097.7231713563865,1,0,389,11.34,3.039,0.53,0.158,0.805,0.1,0.095
2,3,1384.0201346865163,1,1,403,11.43,3.05,0.533,0.093,0.801,0.099,0.099
2,4,1344.588848725133,1,1,410,11.609,3,0.52,-0.024,0.807,0.09,0.102
3,1,721.7841278382672,0,0,561,11.604,3.043,0.549,-0.001,0.788,0.146,0.066
3,2,950.7339171511446,0,0,593,11.722,3.054,0.55,-0.018,0.796,0.138,0.066
3,3,1122.3345542490565,0,1,573,11.636,3.105,0.548,-0.004,0.796,0.134,0.07
3,4,1152.5742402644028,0,1,578,11.593,3.074,0.531,-0.048,0.815,0.123,0.062
4,1,813.5433545934783,1,0,312,11.5,2.795,0.503,-0.259,0.721,0.173,0.106
4,2,809.8359474084086,1,0,308,11.61,2.805,0.49,-0.258,0.714,0.172,0.114
4,3,1126.8707528135874,1,1,307,12.077,2.87,0.463,-0.346,0.739,0.169,0.091
4,4,1196.0353450764185,1,1,302,12.099,2.887,0.46,-0.31,0.715,0.185,0.099
5,1,1154.0643337830859,0,0,437,11.338,3.085,0.604,0.211,0.634,0.222,0.144
5,2,1172.5727441337615,0,0,424,11.185,3.116,0.599,0.183,0.63,0.229,0.142
5,3,1304.1530893969978,0,1,420,11.335,3.129,0.571,0.042,0.619,0.229,0.152
5,4,1512.361935320332,0,1,400,11.389,3.132,0.557,0.006,0.625,0.23,0.145
6,1,716.0573124917328,0,0,798,11.488,3.03,0.477,-0.156,0.55,0.293,0.157
6,2,1010.4213493475212,0,0,834,11.476,2.986,0.486,-0.14,0.549,0.3,0.151
6,3,1147.487666374568,0,1,857,11.468,2.989,0.488,-0.18,0.567,0.288,0.145
6,4,1248.8198719137195,0,1,917,11.526,2.989,0.494,-0.201,0.574,0.282,0.144
7,1,940.5675506530948,0,0,1373,11.209,2.931,0.578,0.155,0.543,0.329,0.127
7,2,1106.5407085213546,0,0,1341,11.156,2.927,0.573,0.151,0.551,0.329,0.12
7,3,1310.410636650943,0,1,1330,11.101,2.9,0.566,0.141,0.547,0.333,0.12
7,4,1254.9224380196054,0,1,1333,11.354,2.919,0.538,-0.073,0.55,0.325,0.125
8,1,934.6373689981176,1,0,953,11.26,2.954,0.568,0.243,0.79,0.139,0.071
8,2,1222.1096222407755,1,0,941,11.359,2.997,0.564,0.183,0.782,0.149,0.069
8,3,1393.9335276442116,1,1,961,11.536,2.993,0.546,0.044,0.781,0.147,0.072
8,4,1481.5019130135295,1,1,935,11.589,2.98,0.545,0.005,0.784,0.145,0.071
9,1,743.2250149926653,0,0,370,11.547,2.957,0.473,-0.246,0.627,0.343,0.03
9,2,893.6163111585378,0,0,362,11.493,3.011,0.486,-0.22,0.633,0.337,0.03
9,3,1065.2940399907438,0,1,346,11.47,3.069,0.491,-0.208,0.633,0.332,0.035
9,4,1398.1263913201583,0,1,332,11.507,3.078,0.491,-0.237,0.63,0.334,0.036
10,1,902.4276504495483,0,0,293,11.653,2.819,0.546,0.099,0.645,0.276,0.078
10,2,1107.0223618780292,0,0,298,11.665,2.866,0.534,0.053,0.651,0.268,0.081
10,3,1022.5870973378941,0,1,408,11.759,2.806,0.527,0.019,0.625,0.289,0.086
10,4,1264.0550781077163,0,1,400,11.635,2.772,0.532,0.026,0.625,0.292,0.082
11,1,838.6766801116735,1,0,1310,11.419,3.004,0.531,0.018,0.835,0.118,0.047
11,2,1028.1260387867765,1,0,1289,11.409,3.009,0.53,0.009,0.83,0.12,0.05
11,3,1081.8785901146387,1,1,1247,11.388,2.982,0.531,0.03,0.833,0.119,0.048
11,4,1180.7758417429234,1,1,1236,11.429,2.948,0.527,-0.001,0.828,0.126,0.045
12,1,1015.5621635144527,0,0,1059,11.797,2.984,0.494,-0.124,0.622,0.214,0.163
12,2,1025.7259556417252,0,0,1086,11.726,2.986,0.501,-0.119,0.622,0.214,0.165
12,3,1153.3955557259326,0,1,1100,11.826,2.943,0.505,-0.113,0.619,0.217,0.164
12,4,1254.4454080456187,0,1,1099,11.763,2.946,0.513,-0.072,0.631,0.208,0.16
13,1,762.7357134354417,0,0,231,10.84,3.048,0.597,0.375,0.359,0.498,0.143
13,2,1212.7035406738294,0,0,219,10.747,3.119,0.603,0.355,0.338,0.507,0.155
13,3,1273.2725796656412,0,1,237,10.955,3.084,0.574,0.166,0.346,0.502,0.152
13,4,1168.0129893184978,0,1,228,11.123,3.044,0.557,0.082,0.368,0.482,0.149
14,1,735.7573181868025,1,0,2284,11.881,2.98,0.509,-0.2,0.87,0.083,0.047
14,2,855.9218135359782,1,0,2437,11.753,2.99,0.506,-0.157,0.865,0.082,0.053
14,3,1012.3986652068081,1,1,2383,11.753,2.981,0.509,-0.159,0.867,0.079,0.054
14,4,1063.8566007725706,1,1,2315,11.742,2.961,0.51,-0.175,0.863,0.083,0.054
15,1,1202.2329598365566,0,0,122,10.907,3.328,0.574,0.235,0.582,0.254,0.164
15,2,1017.6563247339903,0,0,124,10.873,3.315,0.597,0.137,0.573,0.266,0.161
15,3,1122.3657237498633,0,1,144,11.258,3.132,0.597,0.051,0.583,0.257,0.16
15,4,1419.9010146762153,0,1,148,11.377,3.108,0.588,0.018,0.561,0.25,0.189
16,1,887.7098495958652,1,0,274,11.897,3.109,0.471,-0.22,0.814,0.135,0.051
16,2,795.8255725466338,1,0,307,11.72,3.16,0.446,-0.215,0.792,0.134,0.075
16,3,963.2219380083679,1,1,327,11.536,3.095,0.465,-0.188,0.81,0.107,0.083
16,4,1042.56462544171,1,1,409,11.498,3.037,0.494,-0.192,0.826,0.11,0.064
17,1,553.9717469255673,1,0,312,11.825,3.103,0.513,0.045,0.779,0.157,0.064
17,2,940.5547790418685,1,0,310,11.764,3.113,0.494,-0.042,0.781,0.152,0.068
17,3,1169.6925385506702,1,1,287,11.974,3.091,0.488,-0.08,0.794,0.143,0.063
17,4,1217.849937854294,1,1,291,11.97,3.089,0.474,-0.139,0.794,0.137,0.069
18,1,866.6130796542725,1,0,1969,11.137,2.98,0.583,0.317,0.738,0.14,0.122
18,2,1208.1277263504821,1,0,1925,11.189,3.003,0.58,0.27,0.74,0.14,0.12
18,3,1365.246005053916,1,1,1888,11.279,3.004,0.568,0.208,0.743,0.139,0.118
18,4,1515.1339284461906,1,1,1959,11.367,2.975,0.556,0.11,0.748,0.139,0.113
19,1,1077.8209577544053,0,0,866,11.547,2.993,0.545,0.113,0.834,0.105,0.061
19,2,1103.013549542571,0,0,819,11.49,3.029,0.534,0.111,0.832,0.109,0.06
19,3,1368.6373867697623,0,1,859,11.438,3.028,0.538,0.13,0.823,0.112,0.065
19,4,1372.5120297477206,0,1,915,11.486,3.061,0.525,0.048,0.822,0.114,0.064
20,1,712.7677784065596,0,0,307,12.486,3.111,0.45,-0.313,0.586,0.163,0.251
20,2,828.9861833178015,0,0,284,12.414,3.13,0.44,-0.304,0.592,0.173,0.236
20,3,846.6469981296975,0,1,268,12.396,3.179,0.422,-0.322,0.601,0.164,0.235
20,4,1027.5415597278757,0,1,266,12.251,3.199,0.425,-0.321,0.571,0.177,0.252
21,1,898.4596682045565,1,0,218,12.058,3.073,0.459,-0.394,0.784,0.124,0.092
21,2,909.5933258329216,1,0,231,12.104,3.065,0.459,-0.339,0.784,0.139,0.078
21,3,840.6303846525573,1,1,249,12.021,3,0.426,-0.383,0.783,0.145,0.072
21,4,1129.498924857577,1,1,284,11.934,3.021,0.43,-0.297,0.796,0.148,0.056
22,1,786.9031351846565,1,0,249,11.483,3.044,0.566,0.135,0.763,0.153,0.084
22,2,1337.3906217009246,1,0,250,11.389,3.004,0.58,0.136,0.768,0.148,0.084
22,3,1252.3702080626429,1,1,263,11.517,2.985,0.574,0.094,0.768,0.156,0.076
22,4,1531.5508572352176,1,1,258,11.551,2.969,0.574,0.058,0.779,0.151,0.07
23,1,843.6897449082456,0,0,632,11.853,2.91,0.462,-0.225,0.733,0.193,0.074
23,2,968.8095804663463,0,0,649,11.828,2.918,0.464,-0.273,0.733,0.197,0.069
23,3,1100.434503247339,0,1,640,11.858,2.919,0.472,-0.294,0.744,0.186,0.07
23,4,1079.3824553444547,0,1,646,11.955,2.879,0.491,-0.376,0.737,0.193,0.07
24,1,1354.4004221918701,0,0,226,11.765,3.035,0.593,-0.019,0.597,0.345,0.058
24,2,1154.5729578981727,0,0,212,11.792,3.127,0.575,-0.005,0.585,0.354,0.061
24,3,1289.0514180306634,0,1,201,12.233,3.055,0.552,-0.061,0.592,0.343,0.065
24,4,1311.7120463242645,0,1,180,12.264,3.011,0.572,-0.077,0.589,0.339,0.072
25,1,802.6828612014191,1,0,121,11.201,3.033,0.62,0.485,0.719,0.132,0.149
25,2,1588.6323807656393,1,0,117,11.174,2.983,0.624,0.46,0.735,0.12,0.145
25,3,1335.3932587991621,1,1,125,11.244,3.056,0.624,0.327,0.728,0.136,0.136
25,4,1238.321854797255,1,1,125,11.406,3.096,0.616,0.251,0.736,0.128,0.136
26,1,745.3589630334661,0,0,698,11.633,3.044,0.556,0.107,0.848,0.112,0.04
26,2,1019.3276699976102,0,0,681,11.511,3.037,0.567,0.117,0.838,0.119,0.043
26,3,1133.612778806076,0,1,709,11.541,3.083,0.56,0.051,0.839,0.124,0.037
26,4,1366.1030155216388,0,1,662,11.565,3.066,0.551,0.044,0.837,0.127,0.036
27,1,626.7787282673331,0,0,1310,12.59,3.003,0.392,-0.695,0.856,0.069,0.075
27,2,651.8563706407325,0,0,1281,12.562,3.005,0.403,-0.636,0.861,0.068,0.071
27,3,811.9312301244712,0,1,1246,12.429,2.989,0.402,-0.604,0.861,0.067,0.071
27,4,848.7720157685225,0,1,1255,12.513,3.014,0.401,-0.687,0.859,0.07,0.071
28,1,848.963490888066,0,0,361,11.56,2.801,0.468,-0.028,0.765,0.18,0.055
28,2,777.0313278297665,0,0,360,11.498,2.733,0.494,-0.035,0.761,0.189,0.05
28,3,1063.955029778199,0,1,394,11.333,2.774,0.49,-0.069,0.759,0.185,0.056
28,4,1296.9292539369555,0,1,371,11.199,2.776,0.496,-0.062,0.76,0.183,0.057
29,1,450.1855320193598,0,0,225,12.679,2.938,0.356,-0.771,0.52,0.253,0.227
29,2,591.2882008379303,0,0,213,12.747,2.897,0.376,-0.712,0.502,0.249,0.249
29,3,703.0374018565808,0,1,208,12.859,2.88,0.409,-0.7,0.519,0.226,0.255
29,4,880.0226079243503,0,1,208,12.974,2.865,0.418,-0.611,0.519,0.216,0.264
30,1,808.4547066665091,0,0,1098,11.111,3.037,0.585,0.243,0.522,0.178,0.301
30,2,1024.0874684917874,0,0,1093,11.153,3.032,0.578,0.216,0.53,0.178,0.292
30,3,1216.5449728504534,0,1,1064,11.138,3.035,0.576,0.188,0.523,0.188,0.289
30,4,1459.4834398978226,0,1,994,11.179,3.043,0.573,0.135,0.515,0.193,0.292
31,1,696.7615975332167,1,0,445,11.919,3.002,0.492,-0.217,0.694,0.254,0.052
31,2,942.687532681703,1,0,534,11.798,2.985,0.496,-0.219,0.687,0.258,0.054
31,3,1110.0578603095953,1,1,522,11.833,2.954,0.489,-0.193,0.688,0.262,0.05
31,4,1078.463545111543,1,1,560,11.763,2.977,0.496,-0.19,0.693,0.255,0.052
32,1,847.7580073256694,1,0,286,10.696,3.105,0.556,0.366,0.801,0.164,0.035
32,2,1158.8188645487473,1,0,259,10.76,3.162,0.571,0.389,0.807,0.154,0.039
32,3,1489.5622047195966,1,1,272,10.737,3.088,0.581,0.32,0.812,0.154,0.033
32,4,1666.1751874134038,1,1,280,10.873,3.036,0.579,0.266,0.8,0.161,0.039
33,1,733.2234323417941,0,0,254,11.503,2.902,0.492,-0.026,0.563,0.256,0.181
33,2,1107.2607401180494,0,0,247,11.32,2.899,0.49,-0.027,0.559,0.255,0.186
33,3,887.6608019907333,0,1,237,11.355,2.949,0.477,-0.052,0.557,0.266,0.177
33,4,1083.802983512168,0,1,264,11.354,2.905,0.473,-0.121,0.523,0.292,0.186
34,1,690.5031356980728,0,0,376,12.561,2.995,0.428,-0.396,0.739,0.114,0.146
34,2,835.4349647045519,0,0,372,12.658,2.997,0.433,-0.371,0.745,0.11,0.145
34,3,1028.4694411808534,0,1,447,12.414,3.02,0.434,-0.422,0.758,0.105,0.136
34,4,1003.8501687400258,0,1,414,12.404,3,0.444,-0.414,0.766,0.101,0.133
35,1,687.7402440099562,0,0,337,11.759,2.881,0.543,0.045,0.599,0.279,0.122
35,2,968.4711238330336,0,0,319,11.49,2.934,0.558,0.062,0.599,0.27,0.132
35,3,1118.042211880501,0,1,319,11.694,2.903,0.545,-0.029,0.574,0.292,0.135
35,4,1359.479931275579,0,1,342,11.73,2.918,0.518,-0.106,0.567,0.304,0.129
36,1,884.7794946243391,0,0,1142,11.431,2.99,0.532,0.063,0.741,0.205,0.054
36,2,1046.392527214097,0,0,1166,11.369,2.995,0.527,0.059,0.748,0.2,0.052
36,3,1158.423651627937,0,1,1128,11.301,2.98,0.54,0.079,0.749,0.203,0.048
36,4,1264.9656561680374,0,1,1099,11.302,3.008,0.546,0.059,0.744,0.206,0.05
37,1,821.127981315671,1,0,275,11.701,3,0.556,0.12,0.6,0.262,0.138
37,2,1039.8198011939587,1,0,290,11.617,2.976,0.548,0.139,0.597,0.276,0.128
37,3,1286.4358269658721,1,1,288,11.629,2.955,0.524,0.09,0.576,0.278,0.146
37,4,1347.8957110364902,1,1,294,11.477,3.092,0.52,0.017,0.558,0.293,0.15
38,1,779.649111038534,1,0,217,11.441,3.074,0.442,-0.258,0.917,0.069,0.014
38,2,880.0724078918109,1,0,217,11.544,3.101,0.452,-0.291,0.917,0.06,0.023
38,3,1017.4324268710244,1,1,225,11.694,3.151,0.436,-0.379,0.938,0.04,0.022
38,4,1093.6304214410986,1,1,214,11.872,3.131,0.435,-0.406,0.944,0.033,0.023
39,1,689.7662806495737,0,0,1310,11.721,3.074,0.505,-0.142,0.673,0.204,0.124
39,2,797.9752235566107,0,0,1264,11.639,3.055,0.513,-0.126,0.669,0.207,0.124
39,3,927.6710646194728,0,1,1287,11.547,3.085,0.518,-0.071,0.658,0.214,0.127
39,4,1062.124998513214,0,1,1265,11.572,3.067,0.523,-0.14,0.666,0.212,0.123
40,1,758.9650816506486,0,0,401,11.248,2.915,0.596,0.108,0.683,0.234,0.082
40,2,1219.276640383298,0,0,429,11.175,2.967,0.587,0.102,0.697,0.233,0.07
40,3,1228.4542222785392,0,1,410,11.32,2.941,0.568,0.081,0.72,0.22,0.061
40,4,1252.8377139760732,0,1,414,11.409,2.928,0.572,0.086,0.72,0.217,0.063
41,1,940.3093824283793,0,0,243,11.252,2.881,0.543,0.168,0.741,0.169,0.091
41,2,1109.139445383917,0,0,268,11.324,2.966,0.541,0.144,0.731,0.183,0.086
41,3,1174.5368480445047,0,1,263,11.059,3,0.525,0.149,0.741,0.171,0.087
41,4,1899.7502377190185,0,1,273,11.29,2.996,0.524,0.069,0.733,0.161,0.106
42,1,889.1144449845702,0,0,239,11.425,3.138,0.598,0.176,0.753,0.159,0.088
42,2,1165.541474222326,0,0,243,11.316,3.173,0.609,0.113,0.765,0.148,0.086
42,3,1557.5032795177258,0,1,243,11.305,3.251,0.613,0.119,0.77,0.148,0.082
42,4,1257.844317166679,0,1,239,11.352,3.28,0.598,0.012,0.791,0.142,0.067
43,1,752.4902473373123,1,0,465,11.253,3.052,0.514,0.021,0.778,0.131,0.09
43,2,1113.4822480769662,1,0,456,11.193,3.048,0.511,0.016,0.768,0.132,0.101
43,3,1247.8657913882046,1,1,466,11.25,3.049,0.509,0.056,0.788,0.122,0.09
43,4,1161.0300127583407,1,1,469,11.551,3.075,0.49,-0.121,0.787,0.126,0.087
44,1,1000.9902489749048,0,0,292,11.71,2.949,0.558,0.05,0.705,0.137,0.158
44,2,1170.7986386746506,0,0,288,11.714,2.944,0.556,0.077,0.691,0.149,0.16
44,3,1353.0256969282223,0,1,280,11.666,3.011,0.557,0.062,0.686,0.143,0.171
44,4,1354.7834355041464,0,1,283,11.857,3.025,0.555,-0.005,0.689,0.141,0.17
45,1,798.4071123607179,0,0,409,11.768,2.895,0.535,-0.054,0.653,0.32,0.027
45,2,1338.4649902732428,0,0,402,11.8,2.821,0.535,-0.051,0.652,0.313,0.035
45,3,1038.6705901748132,0,1,385,11.67,2.834,0.525,-0.081,0.655,0.314,0.031
45,4,1170.4181627713729,0,1,374,11.713,2.93,0.532,-0.117,0.644,0.324,0.032
46,1,723.9389254533029,0,0,464,12.445,3.114,0.407,-0.437,0.858,0.097,0.045
46,2,743.1973950533163,0,0,427,12.344,3.094,0.405,-0.429,0.864,0.091,0.044
46,3,884.335607093834,0,1,410,12.365,3.095,0.398,-0.473,0.876,0.08,0.044
46,4,908.5741657761832,0,1,425,12.419,3.028,0.435,-0.455,0.871,0.078,0.052
47,1,1008.210438930941,1,0,103,10.62,2.544,0.505,0.424,0.728,0.175,0.097
47,2,1413.918970720374,1,0,101,11.046,2.505,0.485,0.329,0.723,0.178,0.099
47,3,1127.5265628331038,1,1,101,11.03,2.663,0.505,0.282,0.743,0.168,0.089
47,4,1136.5284654896798,1,1,129,11.338,2.744,0.45,0.017,0.744,0.186,0.07
48,1,825.8909149157884,0,0,261,11.14,3.1,0.586,0.15,0.762,0.119,0.119
48,2,982.8863688866571,0,0,253,11.383,3.103,0.557,0.14,0.751,0.123,0.126
48,3,1135.698863368651,0,1,329,11.556,3.082,0.526,-0.115,0.733,0.128,0.14
48,4,1299.0748413010476,0,1,321,11.588,3.053,0.523,-0.133,0.723,0.134,0.143
