id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,923.2415589742396,0,0,113,10.936,2.876,0.575,0.295,0.655,0.23,0.115
1,2,900.7545801298643,0,0,117,10.969,2.889,0.615,0.227,0.667,0.222,0.111
1,3,1337.3302708945776,0,1,146,11.066,3.062,0.582,0.108,0.651,0.253,0.096
1,4,1253.2022206906051,0,1,139,11.282,3.137,0.59,0.087,0.662,0.237,0.101
2,1,1080.6379743644113,1,0,614,10.852,2.907,0.578,0.415,0.632,0.251,0.117
2,2,1319.2226843374297,1,0,641,11.001,2.908,0.566,0.313,0.641,0.245,0.114
2,3,1374.890578436088,1,1,642,11.15,2.9,0.548,0.284,0.65,0.238,0.112
2,4,1515.8238337421985,1,1,607,11.194,2.898,0.549,0.253,0.641,0.244,0.115
3,1,823.261437198901,0,0,631,12.003,3.124,0.483,-0.164,0.567,0.292,0.141
3,2,1042.0514778096633,0,0,648,12.006,3.117,0.486,-0.167,0.56,0.293,0.147
3,3,945.4864963409524,0,1,643,12.102,3.11,0.484,-0.22,0.574,0.288,0.138
3,4,1085.9868874014423,0,1,652,12.154,3.049,0.482,-0.273,0.567,0.299,0.133
4,1,1001.888675761448,1,0,338,11.277,3.068,0.527,0.191,0.675,0.272,0.053
4,2,1332.4498519152614,1,0,329,11.339,3.091,0.492,0.167,0.69,0.264,0.046
4,3,1562.1938712045912,1,1,308,11.347,3.039,0.497,0.127,0.695,0.256,0.049
4,4,1439.1771344353256,1,1,339,11.375,3.077,0.507,0.065,0.699,0.245,0.056
5,1,741.9487110087839,0,0,515,12.108,3.076,0.474,-0.44,0.755,0.151,0.093
5,2,907.1228346162065,0,0,489,11.994,3.106,0.481,-0.43,0.757,0.149,0.094
5,3,997.0888763075741,0,1,492,11.993,3.065,0.48,-0.396,0.77,0.14,0.089
5,4,1068.673395700702,0,1,490,11.969,3.106,0.471,-0.353,0.773,0.141,0.086
6,1,742.6170803111291,1,0,239,11.744,2.979,0.473,-0.028,0.828,0.138,0.033
6,2,781.806423311579,1,0,230,11.708,2.913,0.487,-0.039,0.813,0.148,0.039
6,3,822.6342362704621,1,1,223,11.766,2.919,0.498,-0.09,0.812,0.148,0.04
6,4,1393.7719467423954,1,1,336,11.787,2.988,0.5,-0.139,0.789,0.167,0.045
