id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,899.8960233162508,0,0,775,11.064,2.986,0.595,0.279,0.568,0.165,0.267
1,2,1209.8741502554833,0,0,748,11.114,2.984,0.599,0.261,0.571,0.162,0.267
1,3,1259.7697957900946,0,1,786,10.947,2.978,0.603,0.265,0.578,0.155,0.267
1,4,1534.3199120447866,0,1,734,11.016,2.999,0.594,0.198,0.579,0.15,0.271
2,1,840.4603079810478,0,0,286,11.768,3.084,0.531,-0.109,0.668,0.178,0.154
2,2,812.5110691544123,0,0,281,11.665,3.1,0.544,-0.083,0.648,0.181,0.171
2,3,1083.1992070028684,0,1,289,11.594,3.111,0.512,-0.104,0.661,0.183,0.156
2,4,1306.5254098045325,0,1,299,11.54,3.01,0.495,-0.125,0.672,0.187,0.14
3,1,1013.9396692765546,0,0,174,12.43,2.937,0.46,-0.649,0.77,0.155,0.075
3,2,672.6073419892997,0,0,175,12.12,2.937,0.446,-0.571,0.771,0.154,0.074
3,3,998.8169929102854,0,1,183,12.214,2.945,0.415,-0.65,0.776,0.158,0.066
3,4,922.6801052588501,0,1,178,12.218,2.916,0.472,-0.594,0.792,0.146,0.062
4,1,863.7154174083811,0,0,601,11.266,3.055,0.571,0.143,0.682,0.19,0.128
4,2,1091.1532534125122,0,0,634,11.145,3.035,0.569,0.14,0.697,0.188,0.115
4,3,1172.8651343657125,0,1,635,11.063,3.003,0.546,0.116,0.691,0.194,0.115
4,4,1225.0088904979164,0,1,643,11.107,2.924,0.552,0.073,0.678,0.199,0.123
5,1,1179.8383186436565,0,0,467,11.503,3.054,0.548,0.221,0.617,0.3,0.084
5,2,1048.5182512737206,0,0,541,11.496,3.128,0.556,0.162,0.61,0.299,0.091
5,3,1148.897621609194,0,1,540,11.697,3.128,0.543,0.067,0.62,0.294,0.085
5,4,1269.2582245954825,0,1,606,11.631,3.054,0.535,0.037,0.624,0.279,0.097
6,1,713.2539728489025,0,0,618,11.956,2.997,0.443,-0.265,0.581,0.286,0.133
6,2,833.9204845903262,0,0,601,11.959,3.025,0.439,-0.243,0.577,0.28,0.143
6,3,950.9831701227778,0,1,599,11.928,2.992,0.444,-0.196,0.569,0.284,0.147
6,4,1173.9119439089636,0,1,610,11.909,2.998,0.444,-0.185,0.557,0.295,0.148
7,1,937.8355771503225,0,0,187,11.464,3.171,0.561,-0.137,0.69,0.193,0.118
7,2,801.1523873759257,0,0,179,11.064,3.14,0.575,-0.137,0.704,0.184,0.112
7,3,932.1070375144288,0,1,207,11.071,3.14,0.522,-0.108,0.71,0.174,0.116
7,4,1061.7583377420835,0,1,225,11.278,3.009,0.52,-0.203,0.711,0.164,0.124
8,1,755.607483148665,0,0,201,11.664,3.045,0.567,0.152,0.647,0.254,0.1
8,2,1137.129204108259,0,0,193,11.341,3.073,0.544,0.102,0.648,0.269,0.083
8,3,1094.2618234093638,0,1,222,11.46,3.045,0.55,0.021,0.622,0.284,0.095
8,4,1751.3426710573603,0,1,255,11.556,3.004,0.553,-0.064,0.592,0.31,0.098
9,1,858.4538006319377,0,0,3722,11.405,3.004,0.539,0.055,0.665,0.22,0.115
9,2,1004.1480581795664,0,0,3680,11.407,2.998,0.537,0.046,0.664,0.22,0.116
9,3,1222.3491688503352,0,1,3453,11.369,2.996,0.542,0.037,0.668,0.219,0.114
9,4,1348.5844931752233,0,1,3630,11.386,3.012,0.544,0.001,0.664,0.219,0.116
10,1,753.9982866451807,1,0,326,11.458,3.245,0.567,-0.007,0.552,0.301,0.147
10,2,1234.9247052494875,1,0,329,11.444,3.191,0.559,-0.014,0.559,0.301,0.14
10,3,1206.0415011005155,1,1,326,11.371,3.15,0.555,-0.032,0.555,0.301,0.144
10,4,1394.7994438330836,1,1,308,11.351,3.114,0.545,-0.04,0.555,0.295,0.149
11,1,765.6617660183175,0,0,951,11.852,2.959,0.508,-0.151,0.734,0.154,0.113
11,2,872.7462627974124,0,0,909,11.842,2.978,0.515,-0.139,0.729,0.154,0.117
11,3,1047.1149544493082,0,1,879,11.824,2.968,0.52,-0.144,0.72,0.164,0.116
11,4,1045.8446463221007,0,1,877,11.872,2.909,0.511,-0.179,0.717,0.166,0.116
12,1,980.0048354457285,0,0,631,11.202,2.921,0.59,0.308,0.723,0.13,0.147
12,2,1074.2732782469998,0,0,722,11.382,2.929,0.583,0.201,0.726,0.125,0.15
12,3,1414.6757335577515,0,1,703,11.484,2.952,0.572,0.132,0.717,0.129,0.154
12,4,1505.4760471616494,0,1,694,11.472,2.967,0.568,0.076,0.71,0.128,0.161
13,1,856.5450721572238,0,0,457,11.942,2.886,0.466,-0.368,0.805,0.147,0.048
13,2,928.6126455248269,0,0,476,11.937,2.895,0.466,-0.316,0.813,0.132,0.055
13,3,936.3532358447682,0,1,514,12.055,2.883,0.451,-0.375,0.817,0.126,0.056
13,4,959.393772949991,0,1,484,11.943,2.857,0.45,-0.361,0.824,0.122,0.054
14,1,815.3271432801441,1,0,586,11.987,3.077,0.485,-0.283,0.763,0.186,0.051
14,2,743.580533443816,1,0,595,12.179,3.084,0.457,-0.401,0.76,0.195,0.045
14,3,872.972439012993,1,1,584,11.977,3.094,0.459,-0.395,0.76,0.192,0.048
14,4,971.6036194455446,1,1,626,12.125,3.085,0.442,-0.491,0.773,0.184,0.043
15,1,893.0364128780676,1,0,484,11.514,2.994,0.521,0.112,0.634,0.256,0.11
15,2,1169.6481987819009,1,0,486,11.474,2.951,0.523,0.1,0.636,0.255,0.109
15,3,1517.5387612702918,1,1,503,11.587,3.016,0.527,0.052,0.642,0.243,0.115
15,4,1494.0468856064467,1,1,521,11.703,3.008,0.524,-0.055,0.639,0.24,0.121
16,1,792.924816599219,0,0,402,11.884,3.114,0.475,-0.279,0.617,0.209,0.174
16,2,871.8108186976905,0,0,451,12.011,3.135,0.448,-0.332,0.623,0.204,0.173
16,3,1010.4561046396027,0,1,465,11.901,3.144,0.469,-0.284,0.611,0.224,0.166
16,4,1287.4988065797006,0,1,431,11.863,3.109,0.476,-0.236,0.615,0.216,0.169
17,1,671.7730073619538,0,0,394,11.44,3.046,0.518,-0.059,0.86,0.089,0.051
17,2,862.2548732505202,0,0,384,11.503,3,0.521,-0.059,0.862,0.086,0.052
17,3,1150.5718553936488,0,1,422,11.532,3.047,0.509,-0.16,0.86,0.085,0.055
17,4,1041.0174575842698,0,1,451,11.819,3.013,0.506,-0.271,0.851,0.091,0.058
18,1,535.0360506029675,0,0,166,12.305,2.97,0.367,-0.437,0.783,0.157,0.06
18,2,558.8721832812097,0,0,164,11.793,3.012,0.415,-0.295,0.78,0.146,0.073
18,3,720.791575641233,0,1,172,11.937,3,0.459,-0.232,0.773,0.145,0.081
18,4,1036.5875921389882,0,1,168,11.856,2.958,0.476,-0.231,0.786,0.131,0.083
19,1,816.6749220720747,1,0,484,11.93,2.957,0.486,-0.388,0.502,0.176,0.322
19,2,1026.2509868652332,1,0,478,11.895,2.969,0.456,-0.371,0.504,0.176,0.32
19,3,887.938636788667,1,1,484,11.828,3.002,0.473,-0.308,0.488,0.182,0.331
19,4,1297.1560348713012,1,1,483,11.724,2.983,0.482,-0.265,0.489,0.184,0.327
20,1,840.0121054199243,1,0,393,11.409,3.066,0.524,-0.016,0.56,0.247,0.193
20,2,1127.1915364125282,1,0,431,11.531,3.09,0.524,-0.076,0.585,0.23,0.186
20,3,1169.411156873104,1,1,423,11.47,3.057,0.541,-0.135,0.582,0.239,0.18
20,4,1018.8295715336312,1,1,555,12.597,3.052,0.481,-0.825,0.571,0.245,0.184
21,1,642.5302395004678,0,0,218,12.081,2.839,0.459,-0.62,0.927,0.041,0.032
21,2,663.4225029671292,0,0,204,12.192,2.833,0.441,-0.64,0.922,0.049,0.029
21,3,644.9409652198996,0,1,206,12.374,2.893,0.461,-0.668,0.927,0.049,0.024
21,4,889.106297220265,0,1,204,12.395,2.892,0.461,-0.649,0.917,0.059,0.025
22,1,793.9966389615391,0,0,2720,11.239,2.99,0.571,0.19,0.833,0.089,0.078
22,2,1123.1300456646695,0,0,2643,11.223,2.991,0.566,0.19,0.832,0.089,0.079
22,3,1286.403875452608,0,1,2530,11.27,2.997,0.559,0.17,0.833,0.086,0.081
22,4,1369.634354603669,0,1,2487,11.272,3.025,0.564,0.138,0.828,0.093,0.08
23,1,944.0615440284206,0,0,213,11.462,2.831,0.516,-0.174,0.812,0.155,0.033
23,2,677.4625107873857,0,0,202,11.439,2.946,0.51,-0.152,0.807,0.149,0.045
23,3,1030.1121442093965,0,1,185,11.326,2.914,0.514,-0.172,0.8,0.151,0.049
23,4,1204.9753358824073,0,1,181,11.085,2.917,0.514,-0.195,0.801,0.144,0.055
24,1,1255.557437961797,0,0,305,11.002,3.102,0.584,0.31,0.793,0.125,0.082
24,2,1046.934379351783,0,0,350,11.146,3.143,0.571,0.217,0.823,0.114,0.063
24,3,1195.9831142301616,0,1,331,11.147,3.13,0.562,0.197,0.825,0.118,0.057
24,4,1568.0949419146325,0,1,320,11.283,3.131,0.559,0.136,0.822,0.122,0.056
25,1,668.038237304501,1,0,487,11.835,2.973,0.505,-0.191,0.513,0.294,0.193
25,2,825.8811819463511,1,0,488,11.921,2.971,0.498,-0.229,0.512,0.297,0.191
25,3,838.2079339268654,1,1,492,11.705,3.022,0.496,-0.216,0.514,0.299,0.187
25,4,961.4018297606463,1,1,482,11.741,3.046,0.506,-0.19,0.515,0.297,0.189
26,1,953.3298035933572,0,0,249,10.991,2.863,0.51,0.138,0.602,0.173,0.225
26,2,876.7521334918913,0,0,242,11.029,2.893,0.512,0.143,0.607,0.174,0.219
26,3,1099.5867675171141,0,1,263,11.053,2.856,0.517,0.116,0.612,0.171,0.217
26,4,1212.470537599702,0,1,263,11.03,2.814,0.513,0.069,0.589,0.19,0.221
27,1,770.9511841986478,0,0,525,11.684,2.947,0.47,-0.268,0.686,0.141,0.173
27,2,907.2487534819809,0,0,533,11.636,2.966,0.447,-0.27,0.683,0.15,0.167
27,3,877.477927261492,0,1,618,11.823,2.953,0.447,-0.247,0.694,0.15,0.155
27,4,1019.23739554479,0,1,632,12.033,2.968,0.459,-0.288,0.691,0.15,0.158
28,1,465.24966843184404,0,0,90,12.26,2.867,0.489,-0.319,0.911,0.078,0.011
28,2,612.6358612364468,0,0,118,12.135,2.941,0.458,-0.326,0.915,0.076,0.008
28,3,822.8673980869661,0,1,122,11.769,2.762,0.475,-0.269,0.91,0.082,0.008
28,4,1063.3199462182724,0,1,120,11.684,2.692,0.458,-0.218,0.917,0.075,0.008
29,1,706.851160087255,0,0,487,11.932,3.027,0.534,-0.119,0.608,0.318,0.074
29,2,839.091235277632,0,0,510,11.806,3.076,0.543,-0.113,0.61,0.316,0.075
29,3,1181.465985672831,0,1,502,11.756,3.058,0.57,-0.092,0.616,0.315,0.07
29,4,1224.0224150870574,0,1,519,11.966,3.021,0.547,-0.221,0.618,0.31,0.071
30,1,938.201958040644,0,0,756,10.932,3.169,0.563,0.127,0.503,0.401,0.097
30,2,1082.7660332522842,0,0,743,11.033,3.219,0.555,0.084,0.502,0.404,0.094
30,3,1221.8824083486707,0,1,716,11.12,3.196,0.556,0.019,0.508,0.392,0.099
30,4,1491.6002184946574,0,1,765,11.242,3.175,0.552,-0.046,0.497,0.407,0.097
31,1,778.5649380159299,1,0,921,11.457,2.991,0.533,-0.011,0.455,0.229,0.316
31,2,985.0667911846485,1,0,914,11.452,2.978,0.52,-0.023,0.456,0.226,0.317
31,3,1221.2176719841102,1,1,860,11.521,3.024,0.522,-0.032,0.451,0.234,0.315
31,4,1413.5244709207004,1,1,933,11.691,2.992,0.52,-0.158,0.436,0.232,0.332
32,1,642.4966091469519,1,0,362,11.768,2.981,0.464,-0.325,0.605,0.279,0.116
32,2,656.1580151040439,1,0,335,11.691,3.003,0.49,-0.271,0.6,0.275,0.125
32,3,867.6011616741757,1,1,339,11.856,2.962,0.487,-0.295,0.593,0.286,0.121
32,4,1026.6797405984023,1,1,357,11.855,2.938,0.499,-0.286,0.58,0.291,0.129
33,1,822.2242659445028,0,0,822,11.425,2.892,0.55,0.012,0.79,0.14,0.071
33,2,903.0566977656068,0,0,818,11.469,2.901,0.544,-0.009,0.797,0.132,0.071
33,3,1103.0756249827307,0,1,800,11.437,2.902,0.545,-0.018,0.794,0.134,0.072
33,4,1151.1793231192023,0,1,872,11.389,2.909,0.539,-0.075,0.788,0.14,0.072
34,1,848.0723681897741,1,0,338,11.878,3.151,0.553,-0.064,0.633,0.293,0.074
34,2,1093.8851327687764,1,0,331,11.662,3.118,0.553,-0,0.631,0.293,0.076
34,3,1193.1349720861856,1,1,401,11.796,3.167,0.501,-0.119,0.646,0.272,0.082
34,4,1277.853016698234,1,1,377,11.8,3.143,0.499,-0.175,0.634,0.284,0.082
35,1,1287.7888286876405,1,0,213,10.624,3.136,0.601,0.337,0.634,0.286,0.08
35,2,2043.7482632500962,1,0,192,10.698,3.089,0.583,0.301,0.625,0.302,0.073
35,3,1940.3163981005125,1,1,197,10.844,2.985,0.569,0.203,0.629,0.289,0.081
35,4,1494.5616442651165,1,1,186,11.076,2.882,0.554,0.125,0.651,0.28,0.07
36,1,1097.8740971467885,0,0,255,12.051,3.149,0.522,-0.353,0.722,0.176,0.102
36,2,1159.2684781398257,0,0,244,12.005,3.193,0.541,-0.327,0.725,0.172,0.102
36,3,1073.1076044527351,0,1,230,12.053,3.152,0.517,-0.352,0.739,0.157,0.104
36,4,1227.755083989875,0,1,243,11.886,3.107,0.519,-0.281,0.733,0.144,0.123
37,1,842.9260298410816,0,0,447,11.681,2.864,0.555,0.005,0.803,0.121,0.076
37,2,834.6761573437441,0,0,434,11.635,2.853,0.544,-0.012,0.802,0.127,0.071
37,3,1191.8104774577664,0,1,432,11.548,2.947,0.535,-0.008,0.796,0.132,0.072
37,4,1181.969935253015,0,1,403,11.704,2.953,0.541,-0.017,0.801,0.127,0.072
38,1,748.9759793544006,0,0,79,10.64,3.063,0.582,0.202,0.722,0.253,0.025
38,2,1146.5072879856712,0,0,71,10.416,2.887,0.592,0.259,0.746,0.225,0.028
38,3,1145.28618031781,0,1,102,11.051,2.951,0.49,-0.001,0.716,0.245,0.039
38,4,1210.3783425762201,0,1,101,10.942,2.98,0.465,-0.072,0.772,0.198,0.03
39,1,1216.6076170274357,0,0,145,10.244,2.966,0.738,0.569,0.717,0.172,0.11
39,2,931.325964089324,0,0,143,10.06,2.958,0.706,0.506,0.692,0.196,0.112
