id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,837.6457137733101,0,0,312,11.515,2.875,0.455,-0.175,0.429,0.256,0.314
1,2,1049.6979275259746,0,0,330,11.756,2.876,0.461,-0.234,0.409,0.294,0.297
1,3,971.4933773824046,0,1,334,11.584,2.838,0.458,-0.223,0.425,0.284,0.29
1,4,1248.1293023086807,0,1,326,11.617,2.877,0.445,-0.226,0.42,0.279,0.301
2,1,1112.1705066968832,1,0,983,11.13,2.99,0.604,0.295,0.819,0.138,0.043
2,2,1271.0818426614335,1,0,1021,11.215,3.008,0.589,0.222,0.818,0.14,0.042
2,3,1482.032058320272,1,1,996,11.23,3.036,0.583,0.16,0.812,0.144,0.044
2,4,1680.298038248046,1,1,981,11.26,2.979,0.572,0.082,0.809,0.147,0.044
3,1,757.2568570012361,1,0,3724,12.15,3.015,0.456,-0.467,0.914,0.048,0.038
3,2,844.681760567184,1,0,3445,12.11,3.005,0.46,-0.446,0.913,0.048,0.038
3,3,963.4282330678533,1,1,3444,12.02,3.004,0.469,-0.385,0.915,0.048,0.037
3,4,1041.1071916361814,1,1,3310,12.013,2.99,0.475,-0.396,0.912,0.049,0.04
4,1,850.9350194332828,1,0,465,11.771,2.97,0.49,-0.157,0.742,0.196,0.062
4,2,955.2945792695274,1,0,439,11.758,3.005,0.481,-0.174,0.743,0.194,0.064
4,3,994.3260646244264,1,1,415,11.677,3,0.482,-0.184,0.761,0.19,0.048
4,4,1195.1024385923727,1,1,416,11.625,2.957,0.464,-0.188,0.76,0.192,0.048
5,1,1018.0619037487379,0,0,301,10.954,2.92,0.588,0.44,0.797,0.136,0.066
5,2,1128.5556648520976,0,0,314,10.95,2.892,0.567,0.375,0.818,0.124,0.057
5,3,1378.162404178661,0,1,318,11.304,2.953,0.553,0.256,0.792,0.142,0.066
5,4,1652.2094611101857,0,1,307,11.198,2.906,0.531,0.224,0.798,0.137,0.065
6,1,976.4188290010527,0,0,701,11.226,2.999,0.588,0.283,0.742,0.163,0.096
6,2,1133.3900542945762,0,0,669,11.295,2.972,0.583,0.261,0.753,0.146,0.1
6,3,1271.8141542651229,0,1,659,11.383,2.956,0.574,0.221,0.753,0.156,0.091
6,4,1489.989871029433,0,1,741,11.362,2.926,0.572,0.153,0.742,0.166,0.092
7,1,725.6604351696215,0,0,425,11.895,2.936,0.522,-0.26,0.784,0.136,0.08
7,2,664.2658607201814,0,0,480,12.083,2.962,0.51,-0.318,0.781,0.129,0.09
7,3,852.3654662918055,0,1,465,12.037,2.951,0.503,-0.29,0.798,0.114,0.088
7,4,1053.986513118886,0,1,445,11.98,2.881,0.515,-0.295,0.787,0.121,0.092
8,1,794.7029613456427,1,0,777,11.313,3.118,0.541,0.031,0.871,0.091,0.037
8,2,1052.8500661140272,1,0,790,11.232,3.129,0.544,0.038,0.868,0.094,0.038
8,3,1402.3510499335225,1,1,804,11.307,3.083,0.56,0.03,0.869,0.092,0.039
8,4,1466.1957628711655,1,1,785,11.226,3.154,0.557,-0.044,0.864,0.096,0.041
9,1,900.0483867559994,1,0,822,11.533,3.049,0.517,0.002,0.818,0.162,0.021
9,2,931.4887013753836,1,0,804,11.682,3.045,0.515,-0.011,0.813,0.165,0.021
9,3,1251.4663905427112,1,1,872,11.673,3.062,0.537,0.018,0.811,0.161,0.029
9,4,1564.3360931630118,1,1,826,11.658,3.051,0.524,-0.036,0.811,0.162,0.027
10,1,724.8670732404927,0,0,231,11.427,3.035,0.511,0.049,0.584,0.299,0.117
10,2,926.9732722650394,0,0,243,11.48,3.066,0.498,0.042,0.601,0.272,0.128
10,3,1212.6101864221987,0,1,236,11.505,3.017,0.483,0.018,0.614,0.275,0.11
10,4,1058.2144798359695,0,1,242,11.491,2.901,0.479,-0.015,0.624,0.269,0.107
11,1,893.6883662326137,0,0,295,11.052,2.925,0.539,0.138,0.485,0.414,0.102
11,2,1091.979192307544,0,0,288,11.019,2.878,0.531,0.111,0.49,0.41,0.101
11,3,1036.4940499053712,0,1,304,11.188,2.974,0.51,-0.061,0.507,0.385,0.109
11,4,1014.2460913498072,0,1,306,11.247,2.948,0.497,-0.092,0.507,0.392,0.101
12,1,923.8648669712986,1,0,661,11.239,3.014,0.563,0.285,0.581,0.287,0.132
12,2,1032.8292902151,1,0,665,11.277,3.023,0.552,0.218,0.577,0.29,0.132
12,3,1324.8764895898155,1,1,648,11.227,3.034,0.554,0.2,0.576,0.295,0.13
12,4,1437.476916133276,1,1,636,11.304,3.008,0.557,0.112,0.55,0.305,0.145
13,1,926.8175840860116,1,0,561,11.541,2.872,0.565,0.1,0.679,0.137,0.184
13,2,1120.104797515896,1,0,581,11.546,2.943,0.582,0.101,0.69,0.134,0.176
13,3,1275.8702720248652,1,1,569,11.565,2.988,0.568,0.03,0.684,0.139,0.178
13,4,1345.6874616689104,1,1,567,11.583,3.002,0.557,-0,0.7,0.125,0.175
14,1,1344.687878936047,1,0,266,10.291,3.222,0.647,0.715,0.853,0.124,0.023
14,2,1811.6907078931065,1,0,257,10.278,3.23,0.638,0.658,0.852,0.125,0.023
14,3,1731.146676098057,1,1,257,10.382,3.206,0.611,0.588,0.844,0.132,0.023
14,4,2103.774391618634,1,1,258,10.693,3.24,0.593,0.444,0.853,0.124,0.023
15,1,940.9590329293139,1,0,495,11.435,3.075,0.521,-0.127,0.766,0.121,0.113
15,2,1275.3605924321823,1,0,491,11.487,3.069,0.519,-0.163,0.76,0.126,0.114
15,3,1254.446741449834,1,1,514,11.344,3.068,0.527,-0.121,0.77,0.113,0.117
15,4,1435.5996050258202,1,1,507,11.337,3.097,0.521,-0.137,0.773,0.112,0.114
16,1,1088.6342315976146,1,0,1056,10.703,3.071,0.662,0.626,0.703,0.177,0.12
16,2,1510.5062878727347,1,0,1066,10.765,3.084,0.653,0.58,0.695,0.181,0.124
16,3,1799.0226563820693,1,1,1072,10.851,3.051,0.639,0.532,0.69,0.179,0.131
16,4,2183.851879959185,1,1,1006,10.965,3.078,0.631,0.464,0.694,0.178,0.128
17,1,522.4768531180515,0,0,236,11.567,3.076,0.504,-0.077,0.708,0.123,0.169
17,2,767.5116847037385,0,0,257,11.68,3.074,0.521,-0.076,0.712,0.125,0.163
17,3,939.0668365265026,0,1,264,11.715,3.072,0.511,-0.116,0.727,0.117,0.155
17,4,1043.9426213756378,0,1,259,11.496,3.112,0.517,-0.11,0.734,0.112,0.154
18,1,737.3324892090656,0,0,204,11.26,2.902,0.672,0.467,0.529,0.309,0.162
18,2,1291.5091136629303,0,0,212,11.23,2.858,0.646,0.369,0.528,0.302,0.17
18,3,1024.903550281138,0,1,237,11.286,2.869,0.612,0.26,0.502,0.316,0.181
18,4,1391.1443430994566,0,1,218,11.321,2.826,0.583,0.195,0.518,0.307,0.174
19,1,697.6462038814925,0,0,1542,11.942,3.058,0.495,-0.195,0.637,0.302,0.061
19,2,855.4676938800187,0,0,1490,11.998,3.055,0.481,-0.246,0.637,0.305,0.058
19,3,982.7331594570124,0,1,1485,11.836,3.027,0.489,-0.223,0.636,0.305,0.059
19,4,1118.2253697115475,0,1,1579,12.029,3.054,0.48,-0.346,0.643,0.298,0.06
20,1,921.1897016646127,1,0,2717,11.363,3.002,0.551,0.193,0.593,0.305,0.103
20,2,1120.0143866731614,1,0,2597,11.427,3.006,0.553,0.17,0.594,0.308,0.099
20,3,1238.0741690561974,1,1,2622,11.585,3.005,0.552,0.108,0.592,0.31,0.098
20,4,1360.2509937332977,1,1,2581,11.684,3.003,0.549,0.035,0.597,0.308,0.095
21,1,781.6547016828212,0,0,1201,11.848,2.999,0.509,-0.119,0.47,0.412,0.117
21,2,917.2810224148847,0,0,1202,11.933,2.984,0.511,-0.132,0.465,0.42,0.115
