id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,893.2624036685423,1,0,218,11.868,3.028,0.463,-0.391,0.702,0.188,0.11
1,2,981.1505039528943,1,0,221,11.682,2.964,0.489,-0.313,0.688,0.208,0.104
1,3,892.3930079025729,1,1,217,11.542,2.963,0.479,-0.311,0.696,0.194,0.111
1,4,978.2367469861364,1,1,213,11.609,2.911,0.498,-0.371,0.7,0.197,0.103
2,1,870.9728718328022,0,0,659,10.808,3.039,0.651,0.644,0.794,0.158,0.049
2,2,1187.9614659010679,0,0,668,10.898,3.018,0.639,0.564,0.796,0.154,0.049
2,3,1440.6518116469838,0,1,658,10.906,3.026,0.637,0.473,0.798,0.155,0.047
2,4,1584.8644458239564,0,1,648,11.128,3.019,0.639,0.415,0.804,0.151,0.045
3,1,706.1084395911189,0,0,286,12.24,2.867,0.469,-0.182,0.773,0.091,0.136
3,2,799.9697015743508,0,0,338,12.284,2.911,0.441,-0.306,0.763,0.095,0.142
3,3,1023.5127239646794,0,1,321,12.229,2.944,0.442,-0.314,0.773,0.09,0.137
3,4,1224.080950891547,0,1,339,12.37,2.888,0.448,-0.363,0.761,0.103,0.136
4,1,904.0502949473777,0,0,1969,11.197,2.995,0.589,0.23,0.412,0.333,0.254
4,2,980.004528905215,0,0,1875,11.264,2.97,0.583,0.191,0.409,0.332,0.259
4,3,1181.8450123023515,0,1,1913,11.269,2.953,0.573,0.142,0.408,0.334,0.258
4,4,1276.0426396005735,0,1,1962,11.392,2.959,0.551,0.013,0.41,0.33,0.26
5,1,814.8941221085253,1,0,410,11.301,3,0.51,0.017,0.685,0.156,0.159
5,2,1117.20180091972,1,0,398,11.363,2.965,0.492,-0.023,0.678,0.161,0.161
5,3,1004.8641985503814,1,1,395,11.334,2.901,0.486,-0.029,0.678,0.159,0.162
5,4,1316.3937872019676,1,1,385,11.43,2.912,0.481,-0.116,0.673,0.171,0.156
6,1,780.8940171872712,1,0,733,11.708,2.913,0.524,-0.175,0.718,0.143,0.139
