id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,924.9775719637224,1,0,953,11.222,3.064,0.594,0.325,0.78,0.136,0.084
1,2,1046.8811075348933,1,0,940,11.245,3.061,0.58,0.282,0.779,0.14,0.081
1,3,1310.9878796283424,1,1,934,11.311,3.054,0.562,0.202,0.783,0.135,0.082
1,4,1397.382787038569,1,1,930,11.365,3.058,0.575,0.188,0.766,0.143,0.091
2,1,845.1897015707616,0,0,1014,11.127,3.005,0.594,0.347,0.441,0.362,0.197
2,2,1146.4374006452158,0,0,1027,11.151,2.971,0.594,0.323,0.438,0.366,0.196
2,3,1316.5575325302582,0,1,1021,11.239,2.952,0.579,0.239,0.429,0.364,0.207
2,4,1450.9883771775073,0,1,1108,11.363,2.952,0.555,0.091,0.439,0.351,0.21
3,1,745.4836374399318,1,0,982,11.434,2.977,0.56,0.085,0.776,0.162,0.062
3,2,986.1993387333403,1,0,978,11.451,2.999,0.557,0.039,0.77,0.172,0.058
3,3,1327.618710059229,1,1,956,11.387,2.975,0.541,0.024,0.765,0.175,0.061
3,4,1246.0181125444917,1,1,930,11.371,3.008,0.531,-0.009,0.761,0.18,0.059
4,1,706.7626257002472,0,0,371,11.694,3.124,0.512,-0.185,0.542,0.321,0.137
4,2,913.0830882756587,0,0,359,11.593,3.15,0.532,-0.133,0.552,0.323,0.125
4,3,1282.6571170280183,0,1,349,11.441,3.166,0.553,-0.117,0.542,0.332,0.126
4,4,1103.8310093046164,0,1,335,11.682,3.137,0.543,-0.157,0.531,0.34,0.128
5,1,1229.637665977047,0,0,299,11.299,2.906,0.635,0.262,0.789,0.157,0.054
5,2,1065.8697203244296,0,0,301,11.445,2.983,0.638,0.23,0.794,0.153,0.053
5,3,1325.5291819708027,0,1,317,11.71,2.94,0.587,0.102,0.798,0.148,0.054
5,4,1331.5122997689616,0,1,378,11.985,2.889,0.55,-0.19,0.78,0.159,0.061
6,1,789.1418983154953,0,0,842,11.627,3.034,0.5,-0.087,0.615,0.251,0.134
6,2,938.4624938436874,0,0,837,11.668,3.012,0.503,-0.101,0.633,0.24,0.127
6,3,1065.9273701467005,0,1,926,11.735,2.977,0.489,-0.241,0.649,0.224,0.127
6,4,1377.3403886892106,0,1,922,11.736,2.963,0.48,-0.266,0.653,0.223,0.124
7,1,989.5396659095633,1,0,1140,11.295,3.023,0.574,0.226,0.639,0.296,0.066
7,2,1067.912424015361,1,0,1122,11.25,3.035,0.57,0.199,0.635,0.297,0.069
7,3,1248.88940528053,1,1,1164,11.342,3.07,0.575,0.165,0.64,0.298,0.062
7,4,1339.9441287945838,1,1,1132,11.538,3.068,0.567,0.08,0.638,0.294,0.068
8,1,703.8971589392519,0,0,400,12.437,2.97,0.455,-0.493,0.755,0.172,0.072
8,2,624.7575817411507,0,0,399,12.477,2.947,0.454,-0.485,0.754,0.18,0.065
8,3,842.9059757774199,0,1,377,12.492,2.952,0.454,-0.47,0.764,0.17,0.066
8,4,1026.7808280384527,0,1,365,12.425,2.945,0.468,-0.481,0.767,0.173,0.06
9,1,826.1061581742078,0,0,1463,11.239,2.93,0.567,0.126,0.712,0.131,0.158
9,2,934.6517995675692,0,0,1458,11.216,2.933,0.579,0.133,0.713,0.129,0.158
9,3,1200.8619059095283,0,1,1444,11.192,2.958,0.566,0.076,0.708,0.131,0.161
9,4,1361.90691171231,0,1,1405,11.217,2.954,0.554,0.016,0.71,0.132,0.158
10,1,897.5733363556798,0,0,386,11.311,2.845,0.531,0.11,0.642,0.272,0.085
10,2,1144.8432565046487,0,0,381,11.125,2.843,0.554,0.175,0.648,0.27,0.081
10,3,1521.0700361566003,0,1,358,11.167,2.816,0.545,0.159,0.648,0.271,0.081
10,4,1225.347410112235,0,1,360,11.328,2.892,0.517,0.056,0.664,0.253,0.083
