id.practice,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,1,A,1,B,0,31.651,6.857,0.525,2.685
2,0,B,0,C,1,34.922,10.619,0.605,-12.959
3,0,B,0,A,0,38.832,1.814,0.485,-0.624
4,0,C,1,A,0,27.998,7.372,0.286,28.761
5,0,A,1,A,0,22.675,4.284,0.117,76.302
6,0,C,1,A,0,19.173,4.297,0.368,29.556
7,0,C,1,A,1,24.877,10.433,0.414,-8.422
8,1,C,1,A,1,47.561,10.953,0.514,15.091
9,0,B,0,A,1,32.663,9.074,0.319,7.553
10,1,B,1,A,0,31.869,2.444,0.487,-72.95
11,1,C,1,A,1,24.881,15.145,0.368,20.041
12,0,B,1,A,0,22.211,6.537,0.464,35.024
13,1,A,1,C,0,30.62,4.986,0.483,-1.539
14,1,B,1,A,0,32.127,1.379,0.263,52.948
15,1,C,1,A,1,46.466,17.659,0.454,105.778
16,0,C,0,A,0,40.015,3.831,0.53,-2.023
17,1,B,0,B,0,25.218,3.588,0.506,27.634
18,1,A,1,C,0,25.871,0,0.494,9.149
19,1,C,0,A,0,28.374,8.071,0.471,6.742
20,1,A,0,A,0,23.001,4.853,0.411,9.481
21,0,C,1,A,1,38.271,10.592,0.329,9.351
22,0,B,0,A,1,26.27,14.305,0.472,35.338
23,1,A,0,A,1,27.158,13.347,0.364,-25.869
24,1,A,0,A,0,31.223,3.914,0.533,25.475
25,0,A,1,A,1,36.088,19.513,0.445,2.827
26,1,A,1,A,1,24.834,17.485,0.249,31.536
27,0,A,0,A,0,17.35,8.014,0.397,38.282
28,1,B,0,A,1,26.82,19.333,0.315,5.896
29,0,C,1,C,1,32.133,13.799,0.229,16.287
30,1,C,1,A,1,20.959,21.378,0.346,27.493
31,0,B,0,A,0,30.06,14.194,0.329,21.574
32,1,A,1,A,1,33.338,22.655,0.609,67.289
33,0,C,1,B,1,43.998,12.628,0.681,67.367
34,1,A,0,C,0,34.712,8.98,0.625,51.351
35,1,B,1,A,1,20.064,11.169,0.631,-34.076
36,0,B,0,A,0,29.184,5.189,0.635,29.681
37,1,B,1,A,1,25.699,7.525,0.48,51.981
38,1,A,1,A,0,25.861,4.277,0.305,108.581
39,0,A,0,A,0,20.79,4.873,0.283,7.24
40,0,B,1,A,0,32.456,9.348,0.131,-45.17
41,0,C,1,C,1,22.212,2.947,0.369,41.133
42,0,B,1,A,1,43.361,10.153,0.283,88.735
43,0,A,1,A,0,22.552,6.581,0.35,29.445
44,1,B,0,B,0,27.268,3.715,0.317,40.379
45,1,B,1,B,1,15.935,13.849,0.383,8.994
46,0,A,0,B,0,31.059,2.087,0.295,47.067
47,1,B,0,A,0,20.36,4.495,0.453,78.661
48,0,C,1,A,0,27.922,7.133,0.379,-17.831
49,1,C,0,A,1,30.575,10.746,0.386,41.648
50,1,C,1,A,0,25.556,2.215,0.654,-1.177
51,0,B,1,B,0,27.44,7.855,0.287,3.481
52,0,B,0,A,0,25.291,2.78,0.389,-16.854
53,0,A,1,C,0,32.392,5.29,0.72,-5.714
54,0,C,0,A,1,25.063,12.771,0.26,23.674
55,1,B,1,A,1,38.748,12.262,0.302,44.027
56,1,A,1,B,0,28.47,5.159,0.686,-6.751
57,0,B,1,A,0,26.556,5.244,0.217,13.693
58,1,C,1,A,0,28.494,9.404,0.417,57.736
59,1,A,1,A,0,35.103,9.319,0.344,34.439
60,0,A,0,A,0,47.207,5.871,0.414,26.213
61,1,B,0,A,0,27.3,6.384,0.416,9.933
62,1,C,0,A,1,29.733,15.487,0.613,-12.125
63,0,A,0,A,0,28.22,5.332,0.18,-14.71
64,1,C,1,A,0,29.282,1.702,0.381,-16.826
65,0,B,0,B,1,39.153,11.136,0.256,-18.109
66,0,A,1,B,0,31.284,1.336,0.503,-8.519
67,0,B,1,A,0,30.077,9.544,0.108,29.675
68,1,C,1,B,1,21.286,25.744,0.633,20.177
69,0,A,0,C,0,29.437,7.983,0.573,-35.544
70,1,B,1,A,1,25.518,23.8,0.435,90.416
71,1,C,1,A,1,31.875,7.154,0.334,39.976
72,1,B,1,A,1,21.466,20.343,0.231,105.331
