id.practice,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,1,B,1,A,1,23.863,15.617,0.45,50.896
2,1,A,0,A,0,34.669,1.947,0.392,1.859
3,1,B,1,A,1,18.89,15.197,0.249,4.135
4,1,A,0,A,0,22.85,0.847,0.413,-26.952
5,1,B,0,A,1,25.591,16.702,0.584,9.508
6,1,B,1,A,1,20.527,17.26,0.351,85.064
7,0,B,1,A,0,33.283,6.554,0.65,36.441
8,0,B,1,A,1,38.241,15.199,0.21,38.628
9,1,A,1,C,0,32.118,3.655,0.703,43.307
10,1,A,0,A,0,24.619,2.604,0.245,-8.886
11,0,A,1,A,1,11.864,11.287,0.368,124.965
12,1,B,0,A,1,22.268,15.827,0.541,-98.137
13,1,C,0,A,1,22.019,27.425,0.694,-58.95
14,0,C,1,A,1,19.795,9.634,0.255,8.579
15,0,A,1,B,1,50.226,9.009,0.625,32.492
16,1,C,1,A,1,18.682,22.402,0.321,113.504
17,0,C,1,A,0,24.328,8.961,0.531,25.94
18,1,C,1,A,1,19.409,15.54,0.183,55.7
19,0,B,0,A,0,21.827,4.223,0.543,19.564
20,1,C,1,A,0,31.746,5.55,0.416,-5.21
21,1,B,1,B,0,22.565,1.655,0.597,33.942
22,0,A,0,A,1,55.805,19.88,0.202,103.923
23,1,A,1,A,1,39.324,12.323,0.381,31.811
24,1,B,0,A,0,26.973,3.692,0.237,95.289
25,0,A,0,A,0,42.514,7.937,0.357,15.07
26,0,B,0,B,0,17.558,8.453,0.203,-4.429
27,1,A,0,B,0,19.621,4.685,0.542,31.401
28,0,A,0,B,0,28.923,2.198,0.623,12.032
29,1,A,0,B,0,29.468,8.95,0.41,14.815
30,1,A,1,A,0,15.019,4.145,0.578,-0.955
31,0,B,1,A,1,44.769,7.465,0.544,-7.11
32,0,B,1,A,0,26.649,1.657,0.258,4.15
33,0,A,0,A,0,29.248,4.073,0.478,-17.446
34,0,A,1,A,1,23.986,10.056,0.575,46.873
35,1,A,1,A,1,34.868,22.762,0.396,31.749
36,0,B,0,A,1,24.331,15.852,0.43,6.077
37,0,B,1,A,1,19.484,5.643,0.203,16.775
38,0,C,0,A,0,26.904,5.099,0.394,75.696
39,0,C,0,A,1,21.611,6.216,0.35,57.861
40,0,B,0,A,0,36.061,5.841,0.422,46.126
41,0,A,0,A,0,19.539,5.53,0.288,8.592
42,0,C,1,A,0,25.398,10.629,0.268,71.159
43,0,C,0,A,0,26.096,5.354,0.349,41.382
44,0,C,1,A,0,37.665,8.527,0.47,31.236
45,1,C,0,A,0,20.672,7.417,0.281,-21.021
46,1,C,0,A,0,38.931,2.143,0.296,-6.72
47,1,B,1,A,1,38.166,11.895,0.508,87.28
48,1,C,1,A,0,15.925,4.933,0.255,5.747
49,1,B,0,A,0,33.343,6.91,0.62,36.647
50,1,C,0,A,1,44.262,14.469,0.071,-21.207
51,0,A,0,A,1,28.732,5.451,0.563,61.303
52,1,A,1,B,1,32.848,22.471,0.442,37.875
53,1,C,0,A,1,42.159,13.808,0.42,24.899
54,0,A,0,A,0,30.848,0,0.302,41.972
55,1,A,1,B,0,39.485,7.683,0.195,18.819
56,0,A,0,A,1,21.278,1.543,0.409,-30.321
57,1,B,0,A,0,21.492,3.693,0.076,-32.246
58,0,C,1,A,1,25.097,15.223,0.67,26.056
59,0,C,1,A,1,47.144,12.067,0.334,-32.853
60,1,B,0,A,1,15.259,19.552,0.262,78.854
61,1,A,0,A,1,26.391,13.561,0.353,71.627
62,0,B,1,B,0,47.768,1.247,0.595,59.408
63,1,A,1,B,1,25.131,17.239,0.684,73.392
64,1,A,1,A,0,24.389,1.665,0.45,-35.927
65,0,B,1,A,1,23.279,13.312,0.586,120.21
66,0,A,1,C,0,25.065,10.533,0.618,-70.13
67,1,C,0,A,0,39.315,8.584,0.175,9.482
68,1,B,1,A,1,16.165,11.834,0.366,-12.473
69,0,C,1,A,0,47.054,4.572,0.333,62.708
70,0,B,0,A,1,38.668,14.819,0.374,56.942
71,0,B,0,A,0,19.242,1.328,0.255,29.802
72,0,C,1,B,1,25.165,10.434,0.39,40.545
73,1,A,0,A,0,33.589,5.749,0.275,34.607
74,1,B,0,A,0,35.754,5.561,0.31,-14.544
75,0,B,0,A,1,34.775,12.494,0.314,67.837
76,1,C,1,A,1,28.817,18.611,0.279,-14.673
77,1,A,0,B,0,26.653,10.984,0.707,17.915
78,0,A,0,C,0,14.373,6.148,0.228,-1.57
79,1,B,0,A,1,33.622,5.335,0.689,127.972
80,0,A,1,A,0,41.48,5.355,0.41,-23.005
81,0,B,1,A,1,32.382,5.869,0.498,-10.687
82,0,A,0,A,0,38.925,0,0.254,53.192
83,1,C,0,A,1,45.037,15.933,0.666,17.587
84,0,A,0,A,1,22.329,6.362,0.469,-57.901
85,0,B,1,A,0,27.45,8.993,0.133,14.954
86,1,A,1,A,0,37.17,0,0.409,96.282
87,0,A,1,C,0,49.703,1.628,0.31,-12.447
88,0,A,1,C,0,26.138,5.126,0.545,44.507
89,1,B,1,B,1,42.941,11.516,0.271,71.021
90,1,B,1,A,0,20.669,3.893,0.405,-30.21
91,1,B,0,A,1,29.256,0.883,0.453,96.362
92,0,B,1,A,1,23.227,19.49,0.282,28.565
93,0,B,1,C,0,34.593,5.861,0.262,26.069
94,1,B,0,A,0,25.337,1.859,0.463,-16.188
95,1,A,1,B,0,38.457,5.338,0.303,3.295
96,0,A,0,A,0,22.302,6.101,0.536,33.554
97,0,B,1,B,0,13.364,5.862,0.625,25.926
98,0,A,1,A,0,19.148,2.961,0.22,-25.641
99,0,C,1,B,0,34.48,5.321,0.493,38.52
100,0,C,1,A,1,25.546,5.741,0.161,-11.355
101,1,A,1,A,0,31.405,4.63,0.317,58.57
102,1,B,0,A,0,23.919,7.684,0.437,40.856
103,1,A,0,A,0,29.951,2.267,0.324,-6.344
104,1,C,1,B,1,31.46,15.405,0.239,60.834
105,0,C,1,A,1,27.653,12.124,0.557,28.005
106,1,C,1,A,0,20.137,2.05,0.543,22.953
107,1,B,0,A,0,34.718,5.816,0.352,-0.664
108,1,B,1,A,0,28.35,5.105,0.512,10.215
109,1,B,1,A,0,27.435,2.591,0.44,64.751
110,0,B,0,A,1,27.314,7.296,0.201,-52.15
111,0,B,1,B,1,26.434,15.401,0.553,34.505
112,1,A,0,A,1,28.865,9.509,0.568,60.248
113,0,C,0,A,0,21.473,4.706,0.465,27.513
114,1,A,0,A,0,25.504,4.119,0.373,59.692
115,0,B,1,A,1,30.447,8.383,0.389,42.245
116,0,A,0,B,0,17.337,9.42,0.337,44.105
117,1,B,0,A,0,19.808,8.965,0.283,5.515
118,1,C,1,A,0,24.158,9.086,0.303,14.529
119,0,B,0,A,1,27.088,6.739,0.355,50.699
120,0,A,0,C,0,36.129,1.249,0.497,11.736
121,1,B,1,A,1,25.507,12.451,0.458,24.831
122,1,A,1,A,1,45.856,22.419,0.587,-4.428
123,0,B,1,A,0,33.667,9.066,0.241,56.663
124,1,A,1,A,0,25.192,8.665,0.648,59.679
125,0,A,1,A,0,37.002,3.407,0.384,4.93
126,0,C,0,A,1,37.872,7.557,0.469,53.283
