id.practice,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,0,A,0,A,1,24.039,11.556,0.408,-48.018
2,0,A,0,C,1,26.586,11.649,0.524,-73.579
3,0,A,0,A,0,14.46,3.191,0.437,79.382
4,1,B,1,A,1,23.316,16.12,0.619,119.793
5,1,A,1,A,1,22.276,18.712,0.4,10.078
6,0,A,1,A,0,54.295,4.607,0.339,17.055
7,1,B,1,A,0,42.284,3.997,0.531,16.305
8,1,C,0,A,1,37.236,21.197,0.487,104.165
9,0,C,1,B,0,26.814,3.615,0.647,31.678
10,1,B,0,A,1,35.031,13.157,0.223,59.412
11,1,B,0,A,1,24.733,11.831,0.437,47.322
12,1,B,0,A,0,27.765,3.436,0.415,45.19
13,1,B,1,A,1,14.094,17.277,0.401,66.081
14,0,A,1,A,1,36.609,12.945,0.522,7.496
15,1,B,0,A,0,22.767,2.538,0.396,30.34
16,0,B,1,B,0,19.093,3.095,0.222,50.031
17,1,A,1,A,0,22.218,8.594,0.336,19.366
18,0,B,0,A,0,21.615,5.287,0.349,18.997
19,1,C,1,A,0,23.972,0.355,0.377,-92.822
20,1,B,1,A,0,23.775,0,0.316,30.791
21,0,C,1,A,1,28.978,6.745,0.453,13.755
22,0,B,0,A,1,15.715,3.75,0.215,-21.35
23,1,A,1,B,0,29.902,3.525,0.221,-16.616
24,1,A,1,B,0,29.264,5.158,0.385,27.332
25,1,C,1,A,0,21.903,3.357,0.419,60.453
26,1,A,0,A,0,25.754,6.483,0.676,48.334
27,1,A,0,A,0,31.34,1.217,0.309,-20.692
28,0,B,1,C,0,28.332,4.889,0.369,-9.908
29,1,B,0,A,1,28.056,9.714,0.345,29.741
30,1,B,1,A,0,39.622,0,0.627,39.345
31,0,A,0,A,0,29.712,9.78,0.271,93.39
32,1,B,1,A,1,54.097,5.147,0.54,1.737
33,1,B,1,A,1,41.42,5.022,0.366,35.669
34,1,C,1,A,0,18.668,3.188,0.353,70.068
35,0,B,0,A,1,27.5,6.458,0.229,36.81
36,1,A,0,A,1,30.961,20.508,0.639,55.975
37,0,A,0,A,0,23.447,2.292,0.261,0.424
38,1,C,1,A,1,25.246,13.957,0.427,-16.147
39,0,C,0,B,1,28.135,3.623,0.579,36.33
40,0,B,0,A,1,40.86,9.152,0.525,61.858
41,0,B,1,A,0,25.456,7.763,0.465,2.783
42,1,A,1,A,1,30.868,10.583,0.347,-84.333
43,0,A,1,A,0,23.049,10.507,0.464,42.577
44,0,C,1,A,1,26.601,14.146,0.318,40.301
45,1,A,1,C,1,23.774,19.824,0.117,44.755
46,1,A,0,A,0,21.379,7.518,0.421,29.801
47,0,C,1,A,0,30.769,0,0.436,40.884
48,0,C,1,A,0,26.727,8.894,0.395,22.964
49,0,B,1,A,0,44.134,3.006,0.396,-41.733
50,1,B,1,A,0,33.346,0.537,0.586,-33.346
51,1,B,1,B,1,20.268,17.17,0.289,56.983
52,1,A,0,A,0,17.035,4.786,0.26,-53.52
53,1,C,1,B,1,26.336,15.196,0.578,17.043
54,0,A,0,A,0,38.684,1.638,0.488,46.697
55,0,C,1,A,0,33.867,7.111,0.488,-15.567
56,0,C,1,A,0,31.249,0.747,0.229,53.86
57,0,B,1,A,0,33.119,5.344,0.162,50.15
58,0,B,0,A,0,23.304,4.472,0.426,74.466
59,0,C,1,A,1,21.194,13.923,0.585,7.928
60,0,A,0,C,0,19.828,2.546,0.274,12.028
61,1,B,0,A,1,23.245,17.562,0.452,60.501
62,0,B,1,A,0,33.988,2.37,0.5,45.416
63,0,A,1,A,0,28.088,8.61,0.152,19.879
64,0,A,0,B,0,24.441,2.095,0.314,6.043
