id.practice,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,1,B,1,A,1,25.39,17.432,0.407,-13.845
2,1,B,1,B,0,40.672,10.903,0.589,131.2
3,1,B,1,B,0,44.694,2.628,0.375,43.76
4,0,B,0,A,0,31.482,6.418,0.314,58.369
5,0,A,0,A,0,35.701,7.117,0.244,-8.737
6,1,B,1,A,1,47.229,25.824,0.126,68.955
7,1,A,1,B,0,17.777,5.294,0.172,21.103
8,0,A,0,C,0,30.751,6.064,0.286,-29.282
9,1,A,1,A,0,18.365,6.241,0.385,0.579
10,1,A,0,A,0,33.821,0.025,0.617,36.327
11,0,C,1,A,1,28.154,16.893,0.242,26.362
12,0,A,1,A,1,36.956,5.666,0.239,-85.366
13,0,C,1,C,1,26.805,9.736,0.245,28.079
14,0,C,1,A,1,31.466,4.666,0.346,74.587
15,1,C,0,A,1,38.054,6.84,0.468,38.553
16,1,B,0,A,1,25.853,12.104,0.215,-5.676
17,1,C,0,A,1,23.588,12.77,0.555,31.609
18,0,A,0,A,0,25.884,10.744,0.22,18.181
19,1,B,1,A,1,35.6,16.453,0.486,38.565
20,0,C,1,C,1,17.375,13.946,0.262,18.312
21,1,C,1,A,0,21.752,10.801,0.479,-28.861
22,0,B,0,A,1,32.182,4.33,0.555,36.786
23,1,A,0,A,0,29.533,5.66,0.659,42.563
24,1,B,1,A,1,34.289,9.331,0.179,2.286
25,1,B,0,A,1,35.559,17.452,0.516,-38.614
26,0,A,1,C,1,18.968,10.102,0.631,105.058
27,0,B,1,A,0,36.98,10.139,0.179,16.542
28,1,C,0,A,1,50.067,19.5,0.433,30.367
29,1,B,0,A,0,17.407,5.931,0.277,-1.644
30,0,A,0,A,0,21.861,2.993,0.457,96.878
31,1,B,0,A,1,34.562,19.821,0.549,-9.665
32,1,A,0,A,0,25.546,8.142,0.498,35.468
33,1,A,0,A,0,37.24,0.123,0.374,73.926
34,1,A,1,A,0,24.341,4.82,0.623,-5.369
35,1,B,1,A,0,24.658,5.639,0.675,17.486
36,1,A,0,A,0,34.712,7.478,0.249,-42.928
37,1,A,1,A,1,29.354,13.327,0.29,-39.76
38,0,C,0,A,1,24.5,6.71,0.29,-14.727
39,1,A,1,A,1,20.148,13.439,0.366,-26.004
40,0,B,1,A,1,12.2,8.685,0.296,52.187
41,1,B,1,A,0,44.891,9.866,0.52,10.988
42,0,A,0,C,1,32.416,10.289,0.507,62.937
43,0,B,1,A,0,36.248,8.877,0.623,-8.064
44,1,C,1,A,1,22.034,14.577,0.184,-50.906
45,1,B,1,A,0,19.135,6.79,0.525,74.035
46,0,A,0,A,0,19.56,1.09,0.239,19.286
47,1,A,1,A,0,27.314,4.395,0.379,30.975
48,0,A,0,B,1,24.441,11.418,0.364,34.403
49,0,B,1,A,0,37.857,3.185,0.377,-21.755
50,0,B,0,A,0,47.503,4.695,0.492,46.246
51,1,B,1,B,1,26.565,17.231,0.393,55.891
52,1,C,0,A,1,25.67,22.228,0.444,21.304
53,1,B,1,A,1,29.956,5.322,0.288,45.527
54,0,B,0,A,1,36.22,10.814,0.548,-22.734
55,0,A,0,A,0,29.554,3.709,0.648,-2.819
56,1,C,0,A,0,26.597,8.781,0.526,-18.891
57,1,A,0,A,1,29.258,15.25,0.649,8.824
58,0,A,0,A,0,22.704,8.551,0.309,27.04
59,1,B,1,A,0,25.893,0,0.235,41.969
60,0,A,1,C,1,29.051,10.788,0.557,15.844
61,1,A,1,C,0,39.288,0,0.24,102.599
62,1,C,0,A,0,25.603,8.211,0.376,52.816
63,0,A,1,A,1,46.096,10.371,0.404,54.571
64,1,B,1,A,1,24.072,24.102,0.576,49.113
65,1,C,1,B,1,16.159,23.314,0.632,41.152
66,1,B,1,B,0,29.551,3.779,0.283,59.679
67,1,A,1,A,1,32.143,14.596,0.506,-33.786
68,0,C,0,A,0,26.178,5.814,0.648,19.725
69,0,C,0,B,1,29.688,8.769,0.511,55.028
70,0,B,0,C,0,25.648,0,0.504,15.742
71,1,B,1,A,1,23.719,12.739,0.533,36.996
72,1,B,0,A,0,20.485,4.207,0.277,58.703
73,1,C,1,A,0,27.008,6.674,0.379,2.12
74,1,B,0,A,1,20.622,10.988,0.243,33.339
75,1,B,1,A,0,17.836,7.537,0.267,18.137
76,0,A,0,C,0,27.275,2.359,0.597,24.469
77,1,B,0,A,1,22.755,6.781,0.516,57.512
78,1,C,0,A,1,27.7,14.872,0.192,67.448
79,0,B,1,A,0,39.441,12.374,0.288,-67.324
80,0,C,1,B,1,26.065,18.729,0.627,-48.246
81,0,A,0,A,0,26.921,4.129,0.358,11.141
82,1,B,1,A,1,25.624,15.758,0.299,-34.055
83,1,B,1,A,1,22.626,12.661,0.454,-19.698
84,1,A,1,B,0,28.576,5.254,0.541,10.556
85,1,B,0,A,1,40.227,8.825,0.389,55.817
86,1,C,0,A,1,20.995,11.587,0.367,-43.069
87,1,C,1,A,0,37.104,6.337,0.362,70.72
88,1,C,0,A,1,26.325,14.532,0.195,23.31
89,1,B,1,A,0,30.852,6.723,0.469,-2.976
90,1,C,1,A,1,24.796,1.512,0.356,11.165
91,1,B,0,A,1,25.979,12.266,0.459,6.609
92,0,A,1,B,1,25.183,12.749,0.322,45.385
93,0,A,0,B,0,12.822,10.303,0.415,69.827
94,1,A,1,A,1,23.684,14.752,0.333,-78.168
95,1,A,1,A,0,17.683,7.7,0.334,4.444
96,0,A,0,A,0,28.311,3.612,0.461,45.19
97,1,A,0,A,0,14.308,8.826,0.365,5.542
98,1,B,0,A,1,27.665,10.522,0.388,22.099
99,0,B,0,A,0,20.536,2.468,0.53,39.947
100,0,B,0,A,1,21.626,5.873,0.533,35.392
101,0,A,0,A,1,31.648,3.477,0.49,68.531
102,1,A,0,A,0,28.761,6.072,0.507,44.607
103,0,B,1,A,1,13.148,9.287,0.213,-21.437
104,0,B,0,A,0,21.923,0.794,0.319,58.911
105,0,B,0,A,1,31.053,5.903,0.43,5.472
106,1,A,0,A,0,37.912,6.826,0.543,23.348
107,0,A,1,A,1,27.099,14.273,0.57,54.617
108,1,C,1,C,1,34.175,12.085,0.442,84.93
109,0,A,0,A,0,22.748,5.216,0.288,35.137
110,1,A,1,B,1,25.852,17.166,0.389,26.961
111,0,A,0,B,1,29.943,12.78,0.508,-78.06
